धातु	गण	उपग्रह	लकार	पुरुष	वचनम्	रूपम्
पठ्	भ्वादि	परस्मैपद	लृट्	मध्यम	द्वि	पठिष्यथः
पठ्	भ्वादि	परस्मैपद	लृट्	मध्यम	बहु	पठिष्यथ
पठ्	भ्वादि	परस्मैपद	लृट्	उत्तम	एक	पठिष्यामि
पठ्	भ्वादि	परस्मैपद	लृट्	उत्तम	द्वि	पठिष्यावः
पठ्	भ्वादि	परस्मैपद	लृट्	उत्तम	बहु	पठिष्यामः
पठ्	भ्वादि	परस्मैपद	लुट्	प्रथम	एक	पठिता
पठ्	भ्वादि	परस्मैपद	लुट्	प्रथम	द्वि	पठितारौ
पठ्	भ्वादि	परस्मैपद	लुट्	प्रथम	बहु	पठितारः
पठ्	भ्वादि	परस्मैपद	लुट्	मध्यम	एक	पठितासि
पठ्	भ्वादि	परस्मैपद	लुट्	मध्यम	द्वि	पठतास्थः
पठ्	भ्वादि	परस्मैपद	लुट्	मध्यम	बहु	पठितास्थ
पठ्	भ्वादि	परस्मैपद	लुट्	उत्तम	एक	पठितास्मि
पठ्	भ्वादि	परस्मैपद	लुट्	उत्तम	द्वि	पठितास्वः
पठ्	भ्वादि	परस्मैपद	लुट्	उत्तम	बहु	पठितास्मः
पठ्	भ्वादि	परस्मैपद	आशीर्लिङ्	प्रथम	एक	पठ्यात्
पठ्	भ्वादि	परस्मैपद	आशीर्लिङ्	प्रथम	द्वि	पठ्यास्ताम्
पठ्	भ्वादि	परस्मैपद	आशीर्लिङ्	प्रथम	बहु	पठ्यासुः
पठ्	भ्वादि	परस्मैपद	आशीर्लिङ्	मध्यम	एक	पठ्याः
पठ्	भ्वादि	परस्मैपद	आशीर्लिङ्	मध्यम	द्वि	पठ्यास्तम्
पठ्	भ्वादि	परस्मैपद	आशीर्लिङ्	मध्यम	बहु	पठ्यास्त
पठ्	भ्वादि	परस्मैपद	आशीर्लिङ्	उत्तम	एक	पठ्यासम्
पठ्	भ्वादि	परस्मैपद	आशीर्लिङ्	उत्तम	द्वि	पठ्यास्व
पठ्	भ्वादि	परस्मैपद	आशीर्लिङ्	उत्तम	बहु	पठ्यास्म
पठ्	भ्वादि	परस्मैपद	लृङ्	प्रथम	एक	अपठिष्यत्
पठ्	भ्वादि	परस्मैपद	लृङ्	प्रथम	द्वि	अपठिष्यताम्
पठ्	भ्वादि	परस्मैपद	लृङ्	प्रथम	बहु	अपठिष्यन्
पठ्	भ्वादि	परस्मैपद	लृङ्	मध्यम	एक	अपठिष्यः
पठ्	भ्वादि	परस्मैपद	लृङ्	मध्यम	द्वि	अपठिष्यतम्
पठ्	भ्वादि	परस्मैपद	लृङ्	मध्यम	बहु	अपठिष्यत
पठ्	भ्वादि	परस्मैपद	लृङ्	उत्तम	एक	अपठिष्यम्
पठ्	भ्वादि	परस्मैपद	लृङ्	उत्तम	द्वि	अपठिष्याव
पठ्	भ्वादि	परस्मैपद	लृङ्	उत्तम	बहु	अपठिष्याम
पठ्	भ्वादि	परस्मैपद	लिट्	प्रथम	एक	पपाठ
पठ्	भ्वादि	परस्मैपद	लिट्	प्रथम	द्वि	पेठतुः
पठ्	भ्वादि	परस्मैपद	लिट्	प्रथम	बहु	पेठुः
पठ्	भ्वादि	परस्मैपद	लिट्	मध्यम	एक	पेठित
पठ्	भ्वादि	परस्मैपद	लिट्	मध्यम	द्वि	पेठतुः
पठ्	भ्वादि	परस्मैपद	लिट्	मध्यम	बहु	पेठ
पठ्	भ्वादि	परस्मैपद	लिट्	उत्तम	एक	पपाठ
पठ्	भ्वादि	परस्मैपद	लिट्	उत्तम	द्वि	पेठिव
पठ्	भ्वादि	परस्मैपद	लिट्	उत्तम	बहु	पेठिम
पठ्	भ्वादि	परस्मैपद	लुङ्	प्रथम	एक	अपाठीत्
पठ्	भ्वादि	परस्मैपद	लुङ्	प्रथम	द्वि	अपाठिष्टाम्
पठ्	भ्वादि	परस्मैपद	लुङ्	प्रथम	बहु	अपाठिषुः
पठ्	भ्वादि	परस्मैपद	लुङ्	मध्यम	एक	अपाठीः
पठ्	भ्वादि	परस्मैपद	लुङ्	मध्यम	द्वि	अपाठिष्टम्
पठ्	भ्वादि	परस्मैपद	लुङ्	मध्यम	बहु	अपाठिष्ट
पठ्	भ्वादि	परस्मैपद	लुङ्	उत्तम	एक	अपाठिषम्
पठ्	भ्वादि	परस्मैपद	लुङ्	उत्तम	द्वि	अपाठिष्व
पठ्	भ्वादि	परस्मैपद	लुङ्	उत्तम	बहु	अपाठिष्म
या	अदादि	परस्मैपद	लट्	प्रथम	एक	याति
या	अदादि	परस्मैपद	लट्	प्रथम	द्वि	यातः
या	अदादि	परस्मैपद	लट्	प्रथम	बहु	यान्ति
या	अदादि	परस्मैपद	लट्	मध्यम	एक	यासि
या	अदादि	परस्मैपद	लट्	मध्यम	द्वि	याथः
या	अदादि	परस्मैपद	लट्	मध्यम	बहु	याथ
या	अदादि	परस्मैपद	लट्	उत्तम	एक	यामि
या	अदादि	परस्मैपद	लट्	उत्तम	द्वि	यावः
या	अदादि	परस्मैपद	लट्	उत्तम	बहु	यामः
या	अदादि	परस्मैपद	लोट्	प्रथम	एक	यातु
या	अदादि	परस्मैपद	लोट्	प्रथम	द्वि	याताम्
या	अदादि	परस्मैपद	लोट्	प्रथम	बहु	यान्तु
या	अदादि	परस्मैपद	लोट्	मध्यम	एक	याहि
या	अदादि	परस्मैपद	लोट्	मध्यम	द्वि	यातम्
या	अदादि	परस्मैपद	लोट्	मध्यम	बहु	यात
या	अदादि	परस्मैपद	लोट्	उत्तम	एक	यानि
या	अदादि	परस्मैपद	लोट्	उत्तम	द्वि	याव
या	अदादि	परस्मैपद	लोट्	उत्तम	बहु	याम
या	अदादि	परस्मैपद	लङ्	प्रथम	एक	आयात्
या	अदादि	परस्मैपद	लङ्	प्रथम	द्वि	आयातम्
या	अदादि	परस्मैपद	लङ्	प्रथम	बहु	अयुः-अयान्
या	अदादि	परस्मैपद	लङ्	मध्यम	एक	अयाः
या	अदादि	परस्मैपद	लङ्	मध्यम	द्वि	अयातम्
या	अदादि	परस्मैपद	लङ्	मध्यम	बहु	अयात
या	अदादि	परस्मैपद	लङ्	उत्तम	एक	अयाम्
या	अदादि	परस्मैपद	लङ्	उत्तम	द्वि	अयाव
या	अदादि	परस्मैपद	लङ्	उत्तम	बहु	अयाम
या	अदादि	परस्मैपद	विधिलिङ्	प्रथम	एक	यायात्
या	अदादि	परस्मैपद	विधिलिङ्	प्रथम	द्वि	यायातम्
या	अदादि	परस्मैपद	विधिलिङ्	प्रथम	बहु	यायुः
या	अदादि	परस्मैपद	विधिलिङ्	मध्यम	एक	यायाः
या	अदादि	परस्मैपद	विधिलिङ्	मध्यम	द्वि	यायातम्
या	अदादि	परस्मैपद	विधिलिङ्	मध्यम	बहु	यायात
या	अदादि	परस्मैपद	विधिलिङ्	उत्तम	एक	यायाम्
या	अदादि	परस्मैपद	विधिलिङ्	उत्तम	द्वि	यायाव
या	अदादि	परस्मैपद	विधिलिङ्	उत्तम	बहु	यायाम
या	अदादि	परस्मैपद	लृट्	प्रथम	एक	यास्यति
या	अदादि	परस्मैपद	लृट्	प्रथम	द्वि	यास्यतः
या	अदादि	परस्मैपद	लृट्	प्रथम	बहु	यास्यन्ति
या	अदादि	परस्मैपद	लृट्	मध्यम	एक	यास्यसि
या	अदादि	परस्मैपद	लृट्	मध्यम	द्वि	यास्यथः
या	अदादि	परस्मैपद	लृट्	मध्यम	बहु	यास्यथ
या	अदादि	परस्मैपद	लृट्	उत्तम	एक	यास्यामि
या	अदादि	परस्मैपद	लृट्	उत्तम	द्वि	यास्यावः
या	अदादि	परस्मैपद	लृट्	उत्तम	बहु	यास्यामः
या	अदादि	परस्मैपद	लुट्	प्रथम	एक	याता
या	अदादि	परस्मैपद	लुट्	प्रथम	द्वि	यातारौ
या	अदादि	परस्मैपद	लुट्	प्रथम	बहु	यातारः
या	अदादि	परस्मैपद	लुट्	मध्यम	एक	यातासि
या	अदादि	परस्मैपद	लुट्	मध्यम	द्वि	यातास्थः
या	अदादि	परस्मैपद	लुट्	मध्यम	बहु	यातास्थ
या	अदादि	परस्मैपद	लुट्	उत्तम	एक	यातास्मि
या	अदादि	परस्मैपद	लुट्	उत्तम	द्वि	यातास्वः
या	अदादि	परस्मैपद	लुट्	उत्तम	बहु	यातास्मः
या	अदादि	परस्मैपद	आशीर्लिङ्	प्रथम	एक	यायात्
या	अदादि	परस्मैपद	आशीर्लिङ्	प्रथम	द्वि	यायास्तम्
या	अदादि	परस्मैपद	आशीर्लिङ्	प्रथम	बहु	यायासुः
या	अदादि	परस्मैपद	आशीर्लिङ्	मध्यम	एक	यायाः
या	अदादि	परस्मैपद	आशीर्लिङ्	मध्यम	द्वि	यायास्तम्
या	अदादि	परस्मैपद	आशीर्लिङ्	मध्यम	बहु	यायास्त
या	अदादि	परस्मैपद	आशीर्लिङ्	उत्तम	एक	यायासम्
या	अदादि	परस्मैपद	आशीर्लिङ्	उत्तम	द्वि	यायास्व
या	अदादि	परस्मैपद	आशीर्लिङ्	उत्तम	बहु	यायास्म
या	अदादि	परस्मैपद	लृङ्	प्रथम	एक	अयास्यत्
या	अदादि	परस्मैपद	लृङ्	प्रथम	द्वि	अयास्यताम्
या	अदादि	परस्मैपद	लृङ्	प्रथम	बहु	अयास्यन्
या	अदादि	परस्मैपद	लृङ्	मध्यम	एक	अयास्यः
या	अदादि	परस्मैपद	लृङ्	मध्यम	द्वि	अयास्यतम्
या	अदादि	परस्मैपद	लृङ्	मध्यम	बहु	अयास्यत
या	अदादि	परस्मैपद	लृङ्	उत्तम	एक	अयास्यम्
या	अदादि	परस्मैपद	लृङ्	उत्तम	द्वि	अयास्व
या	अदादि	परस्मैपद	लृङ्	उत्तम	बहु	आयास्म
या	अदादि	परस्मैपद	लिट्	प्रथम	एक	ययौ
या	अदादि	परस्मैपद	लिट्	प्रथम	द्वि	ययतुः
या	अदादि	परस्मैपद	लिट्	प्रथम	बहु	ययुः
या	अदादि	परस्मैपद	लिट्	मध्यम	एक	ययाथ
या	अदादि	परस्मैपद	लिट्	मध्यम	द्वि	ययथुः
या	अदादि	परस्मैपद	लिट्	मध्यम	बहु	यय
या	अदादि	परस्मैपद	लिट्	उत्तम	एक	ययौ
या	अदादि	परस्मैपद	लिट्	उत्तम	द्वि	ययिव
या	अदादि	परस्मैपद	लिट्	उत्तम	बहु	ययिम
या	अदादि	परस्मैपद	लुङ्	प्रथम	एक	अयासीत्
या	अदादि	परस्मैपद	लुङ्	प्रथम	द्वि	अयासिष्टाम्
या	अदादि	परस्मैपद	लुङ्	प्रथम	बहु	अयासिषुः
या	अदादि	परस्मैपद	लुङ्	मध्यम	एक	अयासीः
या	अदादि	परस्मैपद	लुङ्	मध्यम	द्वि	अयासिष्टम्
या	अदादि	परस्मैपद	लुङ्	मध्यम	बहु	अयासिष्ट
या	अदादि	परस्मैपद	लुङ्	उत्तम	एक	अयासिषम्
या	अदादि	परस्मैपद	लुङ्	उत्तम	द्वि	अयासिष्व
या	अदादि	परस्मैपद	लुङ्	उत्तम	बहु	अयासिष्म
हु	जुहोत्यादि	परस्मैपद	लट्	प्रथम	एक	जहाति
हु	जुहोत्यादि	परस्मैपद	लट्	प्रथम	द्वि	जहीतः
हु	जुहोत्यादि	परस्मैपद	लट्	प्रथम	बहु	जहति
हु	जुहोत्यादि	परस्मैपद	लट्	मध्यम	एक	जहासि
हु	जुहोत्यादि	परस्मैपद	लट्	मध्यम	द्वि	जहीथः
हु	जुहोत्यादि	परस्मैपद	लट्	मध्यम	बहु	जहीथ
हु	जुहोत्यादि	परस्मैपद	लट्	उत्तम	एक	जहामि
हु	जुहोत्यादि	परस्मैपद	लट्	उत्तम	द्वि	जहीवः
हु	जुहोत्यादि	परस्मैपद	लट्	उत्तम	बहु	जहीमः
हु	जुहोत्यादि	परस्मैपद	लोट्	प्रथम	एक	जहातु
हु	जुहोत्यादि	परस्मैपद	लोट्	प्रथम	द्वि	जहीताम्
हु	जुहोत्यादि	परस्मैपद	लोट्	प्रथम	बहु	जहतु
हु	जुहोत्यादि	परस्मैपद	लोट्	मध्यम	एक	जहीहि
हु	जुहोत्यादि	परस्मैपद	लोट्	मध्यम	द्वि	जहीतम्
हु	जुहोत्यादि	परस्मैपद	लोट्	मध्यम	बहु	जहीत
हु	जुहोत्यादि	परस्मैपद	लोट्	उत्तम	एक	जहानि
हु	जुहोत्यादि	परस्मैपद	लोट्	उत्तम	द्वि	जहाव
हु	जुहोत्यादि	परस्मैपद	लोट्	उत्तम	बहु	जहाम
हु	जुहोत्यादि	परस्मैपद	लङ्	प्रथम	एक	अजहात्
हु	जुहोत्यादि	परस्मैपद	लङ्	प्रथम	द्वि	अजहीताम्
हु	जुहोत्यादि	परस्मैपद	लङ्	प्रथम	बहु	अजहीत
हु	जुहोत्यादि	परस्मैपद	लङ्	मध्यम	एक	अजहाः
हु	जुहोत्यादि	परस्मैपद	लङ्	मध्यम	द्वि	अजहीतम्
हु	जुहोत्यादि	परस्मैपद	लङ्	मध्यम	बहु	अजहीत
हु	जुहोत्यादि	परस्मैपद	लङ्	उत्तम	एक	अजहाम्
हु	जुहोत्यादि	परस्मैपद	लङ्	उत्तम	द्वि	अजहीव
हु	जुहोत्यादि	परस्मैपद	लङ्	उत्तम	बहु	अजहीम
हु	जुहोत्यादि	परस्मैपद	विधिलिङ्	प्रथम	एक	जह्यात्
हु	जुहोत्यादि	परस्मैपद	विधिलिङ्	प्रथम	द्वि	जह्याताम्
हु	जुहोत्यादि	परस्मैपद	विधिलिङ्	प्रथम	बहु	जह्युः
हु	जुहोत्यादि	परस्मैपद	विधिलिङ्	मध्यम	एक	जह्याः
हु	जुहोत्यादि	परस्मैपद	विधिलिङ्	मध्यम	द्वि	जह्यातम्
हु	जुहोत्यादि	परस्मैपद	विधिलिङ्	मध्यम	बहु	जह्यात
हु	जुहोत्यादि	परस्मैपद	विधिलिङ्	उत्तम	एक	जह्याम्
हु	जुहोत्यादि	परस्मैपद	विधिलिङ्	उत्तम	द्वि	जह्याव
हु	जुहोत्यादि	परस्मैपद	विधिलिङ्	उत्तम	बहु	जह्याम
हु	जुहोत्यादि	परस्मैपद	लृट्	प्रथम	एक	हास्यति
हु	जुहोत्यादि	परस्मैपद	लृट्	प्रथम	द्वि	हास्यतः
हु	जुहोत्यादि	परस्मैपद	लृट्	प्रथम	बहु	हास्यन्ति
हु	जुहोत्यादि	परस्मैपद	लृट्	मध्यम	एक	हास्यसि
हु	जुहोत्यादि	परस्मैपद	लृट्	मध्यम	द्वि	हास्यथः
हु	जुहोत्यादि	परस्मैपद	लृट्	मध्यम	बहु	हास्यथ
हु	जुहोत्यादि	परस्मैपद	लृट्	उत्तम	एक	हास्यामि
हु	जुहोत्यादि	परस्मैपद	लृट्	उत्तम	द्वि	हास्यावः
हु	जुहोत्यादि	परस्मैपद	लृट्	उत्तम	बहु	हास्यामः
हु	जुहोत्यादि	परस्मैपद	लुट्	प्रथम	एक	हाता
हु	जुहोत्यादि	परस्मैपद	लुट्	प्रथम	द्वि	हातारौ
हु	जुहोत्यादि	परस्मैपद	लुट्	प्रथम	बहु	हातारः
हु	जुहोत्यादि	परस्मैपद	लुट्	मध्यम	एक	हातासि
हु	जुहोत्यादि	परस्मैपद	लुट्	मध्यम	द्वि	हातास्थः
हु	जुहोत्यादि	परस्मैपद	लुट्	मध्यम	बहु	हातास्थ
हु	जुहोत्यादि	परस्मैपद	लुट्	उत्तम	एक	हातास्मि
हु	जुहोत्यादि	परस्मैपद	लुट्	उत्तम	द्वि	हातास्वः
हु	जुहोत्यादि	परस्मैपद	लुट्	उत्तम	बहु	हातास्मः
हु	जुहोत्यादि	परस्मैपद	आशीर्लिङ्	प्रथम	एक	हेयात्
हु	जुहोत्यादि	परस्मैपद	आशीर्लिङ्	प्रथम	द्वि	हेयास्ताम्
हु	जुहोत्यादि	परस्मैपद	आशीर्लिङ्	प्रथम	बहु	हेयासुः
हु	जुहोत्यादि	परस्मैपद	आशीर्लिङ्	मध्यम	एक	हेयाः
हु	जुहोत्यादि	परस्मैपद	आशीर्लिङ्	मध्यम	द्वि	हेयास्तम्
हु	जुहोत्यादि	परस्मैपद	आशीर्लिङ्	मध्यम	बहु	हेयास्त
हु	जुहोत्यादि	परस्मैपद	आशीर्लिङ्	उत्तम	एक	हेयासम्
हु	जुहोत्यादि	परस्मैपद	आशीर्लिङ्	उत्तम	द्वि	हेयास्व
हु	जुहोत्यादि	परस्मैपद	आशीर्लिङ्	उत्तम	बहु	हेयास्म
हु	जुहोत्यादि	परस्मैपद	लृङ्	प्रथम	एक	अहास्यत्
हु	जुहोत्यादि	परस्मैपद	लृङ्	प्रथम	द्वि	अहास्यताम्
हु	जुहोत्यादि	परस्मैपद	लृङ्	प्रथम	बहु	अहास्यन्
हु	जुहोत्यादि	परस्मैपद	लृङ्	मध्यम	एक	अहास्यः
हु	जुहोत्यादि	परस्मैपद	लृङ्	मध्यम	द्वि	अहास्यतम्
हु	जुहोत्यादि	परस्मैपद	लृङ्	मध्यम	बहु	अहास्यत
हु	जुहोत्यादि	परस्मैपद	लृङ्	उत्तम	एक	अहास्यम्
हु	जुहोत्यादि	परस्मैपद	लृङ्	उत्तम	द्वि	अहास्याव
हु	जुहोत्यादि	परस्मैपद	लृङ्	उत्तम	बहु	अहास्याम
हु	जुहोत्यादि	परस्मैपद	लिट्	प्रथम	एक	जहौ
हु	जुहोत्यादि	परस्मैपद	लिट्	प्रथम	द्वि	जहतुः
हु	जुहोत्यादि	परस्मैपद	लिट्	प्रथम	बहु	जहुः
हु	जुहोत्यादि	परस्मैपद	लिट्	मध्यम	एक	जहाथ
हु	जुहोत्यादि	परस्मैपद	लिट्	मध्यम	द्वि	जहथुः
हु	जुहोत्यादि	परस्मैपद	लिट्	मध्यम	बहु	जह
हु	जुहोत्यादि	परस्मैपद	लिट्	उत्तम	एक	जहौ
हु	जुहोत्यादि	परस्मैपद	लिट्	उत्तम	द्वि	जहिव
हु	जुहोत्यादि	परस्मैपद	लिट्	उत्तम	बहु	जहिम
हु	जुहोत्यादि	परस्मैपद	लुङ्	प्रथम	एक	अहासीत्
हु	जुहोत्यादि	परस्मैपद	लुङ्	प्रथम	द्वि	अहासिष्टम्
हु	जुहोत्यादि	परस्मैपद	लुङ्	प्रथम	बहु	अहासिष्ट
हु	जुहोत्यादि	परस्मैपद	लुङ्	मध्यम	एक	अहासीः
हु	जुहोत्यादि	परस्मैपद	लुङ्	मध्यम	द्वि	अहासिष्टम्
हु	जुहोत्यादि	परस्मैपद	लुङ्	मध्यम	बहु	अहासिष्ट
हु	जुहोत्यादि	परस्मैपद	लुङ्	उत्तम	एक	अहासिषम्
हु	जुहोत्यादि	परस्मैपद	लुङ्	उत्तम	द्वि	अहासिष्व
हु	जुहोत्यादि	परस्मैपद	लुङ्	उत्तम	बहु	अहासिष्म
क्षिप्	दिवादि	परस्मैपद	लट्	प्रथम	एक	क्षिप्यति
क्षिप्	दिवादि	परस्मैपद	लट्	प्रथम	द्वि	क्षिप्यतः
क्षिप्	दिवादि	परस्मैपद	लट्	प्रथम	बहु	क्षिप्यन्ति
क्षिप्	दिवादि	परस्मैपद	लट्	मध्यम	एक	क्षिप्यसि
क्षिप्	दिवादि	परस्मैपद	लट्	मध्यम	द्वि	क्षिप्यथः
क्षिप्	दिवादि	परस्मैपद	लट्	मध्यम	बहु	क्षिप्यथ
क्षिप्	दिवादि	परस्मैपद	लट्	उत्तम	एक	क्षिप्यामि
क्षिप्	दिवादि	परस्मैपद	लट्	उत्तम	द्वि	क्षिप्यावः
क्षिप्	दिवादि	परस्मैपद	लट्	उत्तम	बहु	क्षिप्यामः
क्षिप्	दिवादि	परस्मैपद	लोट्	प्रथम	एक	क्षिप्यतु
क्षिप्	दिवादि	परस्मैपद	लोट्	प्रथम	द्वि	क्षिप्यताम्
क्षिप्	दिवादि	परस्मैपद	लोट्	प्रथम	बहु	क्षिप्यन्तु
क्षिप्	दिवादि	परस्मैपद	लोट्	मध्यम	एक	क्षिप्य
क्षिप्	दिवादि	परस्मैपद	लोट्	मध्यम	द्वि	क्षिप्यतम्
क्षिप्	दिवादि	परस्मैपद	लोट्	मध्यम	बहु	क्षिप्यत
क्षिप्	दिवादि	परस्मैपद	लोट्	उत्तम	एक	क्षिप्यामि
क्षिप्	दिवादि	परस्मैपद	लोट्	उत्तम	द्वि	क्षिप्यावः
क्षिप्	दिवादि	परस्मैपद	लोट्	उत्तम	बहु	क्षिप्यामः
क्षिप्	दिवादि	परस्मैपद	लङ्	प्रथम	एक	अक्षिप्यत्
क्षिप्	दिवादि	परस्मैपद	लङ्	प्रथम	द्वि	अक्षिप्यताम्
क्षिप्	दिवादि	परस्मैपद	लङ्	प्रथम	बहु	अक्षिप्यन्
क्षिप्	दिवादि	परस्मैपद	लङ्	मध्यम	एक	अक्षिप्यः
क्षिप्	दिवादि	परस्मैपद	लङ्	मध्यम	द्वि	अक्षिप्यतम्
क्षिप्	दिवादि	परस्मैपद	लङ्	मध्यम	बहु	अक्षिप्यत
क्षिप्	दिवादि	परस्मैपद	लङ्	उत्तम	एक	अक्षिप्यम्
क्षिप्	दिवादि	परस्मैपद	लङ्	उत्तम	द्वि	अक्षिप्याव
क्षिप्	दिवादि	परस्मैपद	लङ्	उत्तम	बहु	अक्षिप्याम
क्षिप्	दिवादि	परस्मैपद	विधिलिङ्	प्रथम	एक	क्षिप्येत्
क्षिप्	दिवादि	परस्मैपद	विधिलिङ्	प्रथम	द्वि	क्षिप्येताम्
क्षिप्	दिवादि	परस्मैपद	विधिलिङ्	प्रथम	बहु	क्षिप्येयुः
क्षिप्	दिवादि	परस्मैपद	विधिलिङ्	मध्यम	एक	क्षिप्येः
क्षिप्	दिवादि	परस्मैपद	विधिलिङ्	मध्यम	द्वि	क्षिप्येतम्
क्षिप्	दिवादि	परस्मैपद	विधिलिङ्	मध्यम	बहु	क्षिप्येत
क्षिप्	दिवादि	परस्मैपद	विधिलिङ्	उत्तम	एक	क्षिप्येयम्
क्षिप्	दिवादि	परस्मैपद	विधिलिङ्	उत्तम	द्वि	क्षिप्येव
क्षिप्	दिवादि	परस्मैपद	विधिलिङ्	उत्तम	बहु	क्षिप्येम
क्षिप्	दिवादि	परस्मैपद	लृट्	प्रथम	एक	क्षेप्स्यति
क्षिप्	दिवादि	परस्मैपद	लृट्	प्रथम	द्वि	क्षेप्स्यतः
क्षिप्	दिवादि	परस्मैपद	लृट्	प्रथम	बहु	क्षेप्स्यन्ति
क्षिप्	दिवादि	परस्मैपद	लृट्	मध्यम	एक	क्षेप्स्यसि
क्षिप्	दिवादि	परस्मैपद	लृट्	मध्यम	द्वि	क्षेप्स्यथः
क्षिप्	दिवादि	परस्मैपद	लृट्	मध्यम	बहु	क्षेप्स्यथ
क्षिप्	दिवादि	परस्मैपद	लृट्	उत्तम	एक	क्षेप्स्यामि
क्षिप्	दिवादि	परस्मैपद	लृट्	उत्तम	द्वि	क्षेप्स्यावः
क्षिप्	दिवादि	परस्मैपद	लृट्	उत्तम	बहु	क्षेप्स्यामः
क्षिप्	दिवादि	परस्मैपद	लुट्	प्रथम	एक	क्षेप्ता
क्षिप्	दिवादि	परस्मैपद	लुट्	प्रथम	द्वि	क्षेप्तारौ
क्षिप्	दिवादि	परस्मैपद	लुट्	प्रथम	बहु	क्षेप्तारः
क्षिप्	दिवादि	परस्मैपद	लुट्	मध्यम	एक	क्षेप्तासि
क्षिप्	दिवादि	परस्मैपद	लुट्	मध्यम	द्वि	क्षेप्तास्थः
क्षिप्	दिवादि	परस्मैपद	लुट्	मध्यम	बहु	क्षेप्तास्थ
क्षिप्	दिवादि	परस्मैपद	लुट्	उत्तम	एक	क्षेप्तास्मि
क्षिप्	दिवादि	परस्मैपद	लुट्	उत्तम	द्वि	क्षेप्तास्वः
क्षिप्	दिवादि	परस्मैपद	लुट्	उत्तम	बहु	क्षेप्तास्मः
क्षिप्	दिवादि	परस्मैपद	आशीर्लिङ्	प्रथम	एक	क्षिप्यात्
क्षिप्	दिवादि	परस्मैपद	आशीर्लिङ्	प्रथम	द्वि	क्षिप्यास्ताम्
क्षिप्	दिवादि	परस्मैपद	आशीर्लिङ्	प्रथम	बहु	क्षिप्यासुः
