प्राति	लिङ्ग्	धातु	गण	उपग्	लक्	पुरु	वच्	__वाक्यम्__
राम	पुं	क्षिप्	दिव्	पर	लृट्	प्रथ्	एक	रामः क्षेप्स्यति
राम	पुं	क्षिप्	दिव्	पर	लृट्	प्रथ्	द्वि	रामौ क्षेप्स्यतः
राम	पुं	क्षिप्	दिव्	पर	लृट्	प्रथ्	बहु	रामाः क्षेप्स्यन्ति
राम	पुं	क्षिप्	दिव्	पर	लुट्	प्रथ्	एक	रामः क्षेप्ता
राम	पुं	क्षिप्	दिव्	पर	लुट्	प्रथ्	द्वि	रामौ क्षेप्तारौ
राम	पुं	क्षिप्	दिव्	पर	लुट्	प्रथ्	बहु	रामाः क्षेप्तारः
राम	पुं	क्षिप्	दिव्	पर	आशीर्	प्रथ्	एक	रामः क्षिप्यात्
राम	पुं	क्षिप्	दिव्	पर	आशीर्	प्रथ्	द्वि	रामौ क्षिप्यास्ताम्
राम	पुं	क्षिप्	दिव्	पर	आशीर्	प्रथ्	बहु	रामाः क्षिप्यासुः
राम	पुं	क्षिप्	दिव्	पर	लृङ्	प्रथ्	एक	रामः अक्षेप्स्यत्
राम	पुं	क्षिप्	दिव्	पर	लृङ्	प्रथ्	द्वि	रामौ अक्षेप्स्यताम्
राम	पुं	क्षिप्	दिव्	पर	लृङ्	प्रथ्	बहु	रामाः अक्षेप्स्यन्
राम	पुं	क्षिप्	दिव्	पर	लिट्	प्रथ्	एक	रामः चिक्षेप
राम	पुं	क्षिप्	दिव्	पर	लिट्	प्रथ्	द्वि	रामौ चिक्षिपतुः
राम	पुं	क्षिप्	दिव्	पर	लिट्	प्रथ्	बहु	रामाः चिक्षिपुः
राम	पुं	क्षिप्	दिव्	पर	लुङ्	प्रथ्	एक	रामः अक्षिपत्
राम	पुं	क्षिप्	दिव्	पर	लुङ्	प्रथ्	द्वि	रामौ अक्षिपताम्
राम	पुं	क्षिप्	दिव्	पर	लुङ्	प्रथ्	बहु	रामाः अक्षिपन्
राम	पुं	आप्	स्व्	पर	लट्	प्रथ्	एक	रामः आप्नोति
राम	पुं	आप्	स्व्	पर	लट्	प्रथ्	द्वि	रामौ आप्नुतः
राम	पुं	आप्	स्व्	पर	लट्	प्रथ्	बहु	रामाः आप्नुवन्ति
राम	पुं	आप्	स्व्	पर	लोट्	प्रथ्	एक	रामः आप्नोतु
राम	पुं	आप्	स्व्	पर	लोट्	प्रथ्	द्वि	रामौ आप्नुतः
राम	पुं	आप्	स्व्	पर	लोट्	प्रथ्	बहु	रामाः आप्नुवन्तु
राम	पुं	आप्	स्व्	पर	लङ्	प्रथ्	एक	रामः आप्नोत्
राम	पुं	आप्	स्व्	पर	लङ्	प्रथ्	द्वि	रामौ आप्नुताम्
राम	पुं	आप्	स्व्	पर	लङ्	प्रथ्	बहु	रामाः आप्नुवन्
राम	पुं	आप्	स्व्	पर	विधि	प्रथ्	एक	रामः आप्नुयात्
राम	पुं	आप्	स्व्	पर	विधि	प्रथ्	द्वि	रामौ आप्नुयाताम्
राम	पुं	आप्	स्व्	पर	विधि	प्रथ्	बहु	रामाः आप्नुयुः
राम	पुं	आप्	स्व्	पर	लृट्	प्रथ्	एक	रामः आप्स्यति
राम	पुं	आप्	स्व्	पर	लृट्	प्रथ्	द्वि	रामौ आप्स्यतः
राम	पुं	आप्	स्व्	पर	लृट्	प्रथ्	बहु	रामाः आप्स्यन्ति
राम	पुं	आप्	स्व्	पर	लुट्	प्रथ्	एक	रामः आप्ता
राम	पुं	आप्	स्व्	पर	लुट्	प्रथ्	द्वि	रामौ आप्तारौ
राम	पुं	आप्	स्व्	पर	लुट्	प्रथ्	बहु	रामाः आप्तारः
राम	पुं	आप्	स्व्	पर	आशीर्	प्रथ्	एक	रामः आप्यात्
राम	पुं	आप्	स्व्	पर	आशीर्	प्रथ्	द्वि	रामौ आप्यास्ताम्
राम	पुं	आप्	स्व्	पर	आशीर्	प्रथ्	बहु	रामाः आप्यासुः
राम	पुं	आप्	स्व्	पर	लृङ्	प्रथ्	एक	रामः आप्स्यत्
राम	पुं	आप्	स्व्	पर	लृङ्	प्रथ्	द्वि	रामौ आप्स्यताम्
राम	पुं	आप्	स्व्	पर	लृङ्	प्रथ्	बहु	रामाः आप्स्यन्
राम	पुं	आप्	स्व्	पर	लिट्	प्रथ्	एक	रामः आप
राम	पुं	आप्	स्व्	पर	लिट्	प्रथ्	द्वि	रामौ आपतुः
राम	पुं	आप्	स्व्	पर	लिट्	प्रथ्	बहु	रामाः आपुः
राम	पुं	आप्	स्व्	पर	लुङ्	प्रथ्	एक	रामः आपत्
राम	पुं	आप्	स्व्	पर	लुङ्	प्रथ्	द्वि	रामौ आपताम्
राम	पुं	आप्	स्व्	पर	लुङ्	प्रथ्	बहु	रामाः आपन्
राम	पुं	लिख्	तुद्	पर	लट्	प्रथ्	एक	रामः लिखति
राम	पुं	लिख्	तुद्	पर	लट्	प्रथ्	द्वि	रामौ लिखतः
राम	पुं	लिख्	तुद्	पर	लट्	प्रथ्	बहु	रामाः लिखन्ति
राम	पुं	लिख्	तुद्	पर	लोट्	प्रथ्	एक	रामः लिखतु
राम	पुं	लिख्	तुद्	पर	लोट्	प्रथ्	द्वि	रामौ लिखताम्
राम	पुं	लिख्	तुद्	पर	लोट्	प्रथ्	बहु	रामाः लिखन्तु
राम	पुं	लिख्	तुद्	पर	लङ्	प्रथ्	एक	रामः अलिखत्
राम	पुं	लिख्	तुद्	पर	लङ्	प्रथ्	द्वि	रामौ अलिखताम्
राम	पुं	लिख्	तुद्	पर	लङ्	प्रथ्	बहु	रामाः अलिखन्
राम	पुं	लिख्	तुद्	पर	विधि	प्रथ्	एक	रामः लिखेत्
राम	पुं	लिख्	तुद्	पर	विधि	प्रथ्	द्वि	रामौ लिखेताम्
राम	पुं	लिख्	तुद्	पर	विधि	प्रथ्	बहु	रामाः लिखेयुः
राम	पुं	लिख्	तुद्	पर	लृट्	प्रथ्	एक	रामः लेखिष्यति
राम	पुं	लिख्	तुद्	पर	लृट्	प्रथ्	द्वि	रामौ लेखिष्यतः
राम	पुं	लिख्	तुद्	पर	लृट्	प्रथ्	बहु	रामाः लेखिष्यन्ति
राम	पुं	लिख्	तुद्	पर	लुट्	प्रथ्	एक	रामः लेखिता
राम	पुं	लिख्	तुद्	पर	लुट्	प्रथ्	द्वि	रामौ लेखितारौ
राम	पुं	लिख्	तुद्	पर	लुट्	प्रथ्	बहु	रामाः लेखितारः
राम	पुं	लिख्	तुद्	पर	आशीर्	प्रथ्	एक	रामः लिख्यात्
राम	पुं	लिख्	तुद्	पर	आशीर्	प्रथ्	द्वि	रामौ लिख्यास्ताम्
राम	पुं	लिख्	तुद्	पर	आशीर्	प्रथ्	बहु	रामाः लिख्यासुः
राम	पुं	लिख्	तुद्	पर	लृङ्	प्रथ्	एक	रामः अलेखिष्यत्
राम	पुं	लिख्	तुद्	पर	लृङ्	प्रथ्	द्वि	रामौ अलेखिष्यताम्
राम	पुं	लिख्	तुद्	पर	लृङ्	प्रथ्	बहु	रामाः अलेखिष्यन्
राम	पुं	लिख्	तुद्	पर	लिट्	प्रथ्	एक	रामः लिलेख
राम	पुं	लिख्	तुद्	पर	लिट्	प्रथ्	द्वि	रामौ लिलेखतुः
राम	पुं	लिख्	तुद्	पर	लिट्	प्रथ्	बहु	रामाः लिलिखुः
राम	पुं	लिख्	तुद्	पर	लुङ्	प्रथ्	एक	रामः अलेखीत्
राम	पुं	लिख्	तुद्	पर	लुङ्	प्रथ्	द्वि	रामौ अलेखिष्टाम्
राम	पुं	लिख्	तुद्	पर	लुङ्	प्रथ्	बहु	रामाः अलेखिषुः
राम	पुं	युज्	रुध्	पर	लट्	प्रथ्	एक	रामः युनक्ति
राम	पुं	युज्	रुध्	पर	लट्	प्रथ्	द्वि	रामौ युङ्क्तः
राम	पुं	युज्	रुध्	पर	लट्	प्रथ्	बहु	रामाः युञ्जन्ति
राम	पुं	युज्	रुध्	पर	लोट्	प्रथ्	एक	रामः युनक्तु
राम	पुं	युज्	रुध्	पर	लोट्	प्रथ्	द्वि	रामौ युङ्क्ताम्
राम	पुं	युज्	रुध्	पर	लोट्	प्रथ्	बहु	रामाः युञ्जन्तु
राम	पुं	युज्	रुध्	पर	लङ्	प्रथ्	एक	रामः अयुनक्
राम	पुं	युज्	रुध्	पर	लङ्	प्रथ्	द्वि	रामौ अयुङ्क्ताम्
राम	पुं	युज्	रुध्	पर	लङ्	प्रथ्	बहु	रामाः अयुञ्जन्
राम	पुं	युज्	रुध्	पर	विधि	प्रथ्	एक	रामः युञ्ज्यात्
राम	पुं	युज्	रुध्	पर	विधि	प्रथ्	द्वि	रामौ युञ्ज्याताम्
राम	पुं	युज्	रुध्	पर	विधि	प्रथ्	बहु	रामाः युञ्ज्युः
राम	पुं	युज्	रुध्	पर	लृट्	प्रथ्	एक	रामः योक्ष्यति
राम	पुं	युज्	रुध्	पर	लृट्	प्रथ्	द्वि	रामौ योक्ष्यतः
राम	पुं	युज्	रुध्	पर	लृट्	प्रथ्	बहु	रामाः योक्ष्यन्ति
राम	पुं	युज्	रुध्	पर	लुट्	प्रथ्	एक	रामः योक्ता
राम	पुं	युज्	रुध्	पर	लुट्	प्रथ्	द्वि	रामौ योक्तारौ
राम	पुं	युज्	रुध्	पर	लुट्	प्रथ्	बहु	रामाः योक्तारः
राम	पुं	युज्	रुध्	पर	आशीर्	प्रथ्	एक	रामः युज्यात्
राम	पुं	युज्	रुध्	पर	आशीर्	प्रथ्	द्वि	रामौ युज्यास्ताम्
राम	पुं	युज्	रुध्	पर	आशीर्	प्रथ्	बहु	रामाः युज्यासुः
राम	पुं	युज्	रुध्	पर	लृङ्	प्रथ्	एक	रामः अयोक्ष्यत्
राम	पुं	युज्	रुध्	पर	लृङ्	प्रथ्	द्वि	रामौ अयोक्ष्यताम्
राम	पुं	युज्	रुध्	पर	लृङ्	प्रथ्	बहु	रामाः अयोक्ष्यन्
राम	पुं	युज्	रुध्	पर	लिट्	प्रथ्	एक	रामः युयोज
राम	पुं	युज्	रुध्	पर	लिट्	प्रथ्	द्वि	रामौ युयुजतुः
राम	पुं	युज्	रुध्	पर	लिट्	प्रथ्	बहु	रामाः युयुजुः
राम	पुं	युज्	रुध्	पर	लुङ्	प्रथ्	एक	रामः अयौक्षीत्
राम	पुं	युज्	रुध्	पर	लुङ्	प्रथ्	द्वि	रामौ अयौक्ताम्
राम	पुं	युज्	रुध्	पर	लुङ्	प्रथ्	बहु	रामाः अयौक्षुः
राम	पुं	कृ	तन्	पर	लट्	प्रथ्	एक	रामः करोति
राम	पुं	कृ	तन्	पर	लट्	प्रथ्	द्वि	रामौ कुरुतः
राम	पुं	कृ	तन्	पर	लट्	प्रथ्	बहु	रामाः कुर्वन्ति
राम	पुं	कृ	तन्	पर	लोट्	प्रथ्	एक	रामः करोतु
राम	पुं	कृ	तन्	पर	लोट्	प्रथ्	द्वि	रामौ कुरुतः
राम	पुं	कृ	तन्	पर	लोट्	प्रथ्	बहु	रामाः कुर्वन्तु
राम	पुं	कृ	तन्	पर	लङ्	प्रथ्	एक	रामः अकरोत्
राम	पुं	कृ	तन्	पर	लङ्	प्रथ्	द्वि	रामौ अकुरुताम्
राम	पुं	कृ	तन्	पर	लङ्	प्रथ्	बहु	रामाः अकुर्वन्
राम	पुं	कृ	तन्	पर	विधि	प्रथ्	एक	रामः कुर्यात्
राम	पुं	कृ	तन्	पर	विधि	प्रथ्	द्वि	रामौ कुर्याताम्
राम	पुं	कृ	तन्	पर	विधि	प्रथ्	बहु	रामाः कुर्युः
राम	पुं	कृ	तन्	पर	लृट्	प्रथ्	एक	रामः करिष्यति
राम	पुं	कृ	तन्	पर	लृट्	प्रथ्	द्वि	रामौ करिष्यतः
राम	पुं	कृ	तन्	पर	लृट्	प्रथ्	बहु	रामाः करिष्यन्ति
राम	पुं	कृ	तन्	पर	लुट्	प्रथ्	एक	रामः कर्ता
राम	पुं	कृ	तन्	पर	लुट्	प्रथ्	द्वि	रामौ कर्तारौ
राम	पुं	कृ	तन्	पर	लुट्	प्रथ्	बहु	रामाः कर्तारः
राम	पुं	कृ	तन्	पर	आशीर्	प्रथ्	एक	रामः क्रियात्
राम	पुं	कृ	तन्	पर	आशीर्	प्रथ्	द्वि	रामौ क्रियास्ताम्
राम	पुं	कृ	तन्	पर	आशीर्	प्रथ्	बहु	रामाः क्रियासुः
राम	पुं	कृ	तन्	पर	लृङ्	प्रथ्	एक	रामः अकरिष्यत्
राम	पुं	कृ	तन्	पर	लृङ्	प्रथ्	द्वि	रामौ अकरिष्यताम्
राम	पुं	कृ	तन्	पर	लृङ्	प्रथ्	बहु	रामाः अकरिष्यन्
राम	पुं	कृ	तन्	पर	लिट्	प्रथ्	एक	रामः चकार
राम	पुं	कृ	तन्	पर	लिट्	प्रथ्	द्वि	रामौ चक्रतुः
राम	पुं	कृ	तन्	पर	लिट्	प्रथ्	बहु	रामाः चक्रुः
राम	पुं	कृ	तन्	पर	लुङ्	प्रथ्	एक	रामः अकार्षीत्
राम	पुं	कृ	तन्	पर	लुङ्	प्रथ्	द्वि	रामौ अकार्ष्टाम्
राम	पुं	कृ	तन्	पर	लुङ्	प्रथ्	बहु	रामाः बालकाः-बालिकाःअकार्षुः
राम	पुं	क्री	क्र्य्	पर	लट्	प्रथ्	एक	रामः क्रीणाति
राम	पुं	क्री	क्र्य्	पर	लट्	प्रथ्	द्वि	रामौ क्रीणीतः
राम	पुं	क्री	क्र्य्	पर	लट्	प्रथ्	बहु	रामाः क्रीणन्ति
राम	पुं	क्री	क्र्य्	पर	लोट्	प्रथ्	एक	रामः क्रीणातु
राम	पुं	क्री	क्र्य्	पर	लोट्	प्रथ्	द्वि	रामौ क्रीणीताम्
राम	पुं	क्री	क्र्य्	पर	लोट्	प्रथ्	बहु	रामाः क्रीणन्तु
राम	पुं	क्री	क्र्य्	पर	लङ्	प्रथ्	एक	रामः अक्रीणात्
राम	पुं	क्री	क्र्य्	पर	लङ्	प्रथ्	द्वि	रामौ अक्रीणीताम्
राम	पुं	क्री	क्र्य्	पर	लङ्	प्रथ्	बहु	रामाः अक्रीणन्
राम	पुं	क्री	क्र्य्	पर	विधि	प्रथ्	एक	रामः क्रीणीयात्
राम	पुं	क्री	क्र्य्	पर	विधि	प्रथ्	द्वि	रामौ क्रीणीयाताम्
राम	पुं	क्री	क्र्य्	पर	विधि	प्रथ्	बहु	रामाः क्रीणीयुः
राम	पुं	क्री	क्र्य्	पर	लृट्	प्रथ्	एक	रामः क्रेष्यति
राम	पुं	क्री	क्र्य्	पर	लृट्	प्रथ्	द्वि	रामौ क्रेष्यतः
राम	पुं	क्री	क्र्य्	पर	लृट्	प्रथ्	बहु	रामाः क्रेष्यन्ति
राम	पुं	क्री	क्र्य्	पर	लुट्	प्रथ्	एक	रामः क्रेता
राम	पुं	क्री	क्र्य्	पर	लुट्	प्रथ्	द्वि	रामौ क्रेतारौ
राम	पुं	क्री	क्र्य्	पर	लुट्	प्रथ्	बहु	रामाः क्रेतारः
राम	पुं	क्री	क्र्य्	पर	आशीर्	प्रथ्	एक	रामः क्रीयात्
राम	पुं	क्री	क्र्य्	पर	आशीर्	प्रथ्	द्वि	रामौ क्रीयास्ताम्
राम	पुं	क्री	क्र्य्	पर	आशीर्	प्रथ्	बहु	रामाः क्रीयासुः
राम	पुं	क्री	क्र्य्	पर	लृङ्	प्रथ्	एक	रामः अक्रेष्यत्
राम	पुं	क्री	क्र्य्	पर	लृङ्	प्रथ्	द्वि	रामौ अक्रेष्यताम्
राम	पुं	क्री	क्र्य्	पर	लृङ्	प्रथ्	बहु	रामाः अक्रेष्यन्
राम	पुं	क्री	क्र्य्	पर	लिट्	प्रथ्	एक	रामः चिक्राय
राम	पुं	क्री	क्र्य्	पर	लिट्	प्रथ्	द्वि	रामौ चिक्रियतुः
राम	पुं	क्री	क्र्य्	पर	लिट्	प्रथ्	बहु	रामाः चिक्रियुः
राम	पुं	क्री	क्र्य्	पर	लुङ्	प्रथ्	एक	रामः अक्रैषीत्
राम	पुं	क्री	क्र्य्	पर	लुङ्	प्रथ्	द्वि	रामौ अक्रैष्टाम्
राम	पुं	क्री	क्र्य्	पर	लुङ्	प्रथ्	बहु	रामाः अक्रैषुः
राम	पुं	कथ्	चुर्	पर	लट्	प्रथ्	एक	रामः कथयति
राम	पुं	कथ्	चुर्	पर	लट्	प्रथ्	द्वि	रामौ कथयतः
राम	पुं	कथ्	चुर्	पर	लट्	प्रथ्	बहु	रामाः कथयन्ति
राम	पुं	कथ्	चुर्	पर	लोट्	प्रथ्	एक	रामः कथयतु
राम	पुं	कथ्	चुर्	पर	लोट्	प्रथ्	द्वि	रामौ कथयताम्
राम	पुं	कथ्	चुर्	पर	लोट्	प्रथ्	बहु	रामाः कथयन्तु
राम	पुं	कथ्	चुर्	पर	लङ्	प्रथ्	एक	रामः अकथयत्
राम	पुं	कथ्	चुर्	पर	लङ्	प्रथ्	द्वि	रामौ अकथयताम्
राम	पुं	कथ्	चुर्	पर	लङ्	प्रथ्	बहु	रामाः अकथयन्
राम	पुं	कथ्	चुर्	पर	विधि	प्रथ्	एक	रामः कथयेत्
राम	पुं	कथ्	चुर्	पर	विधि	प्रथ्	द्वि	रामौ कथयेताम्
राम	पुं	कथ्	चुर्	पर	विधि	प्रथ्	बहु	रामाः कथयेयुः
राम	पुं	कथ्	चुर्	पर	लृट्	प्रथ्	एक	रामः कथयिष्यति
राम	पुं	कथ्	चुर्	पर	लृट्	प्रथ्	द्वि	रामौ कथयिष्यतः
राम	पुं	कथ्	चुर्	पर	लृट्	प्रथ्	बहु	रामाः कथयिष्यन्ति
राम	पुं	कथ्	चुर्	पर	लुट्	प्रथ्	एक	रामः कथयिता
राम	पुं	कथ्	चुर्	पर	लुट्	प्रथ्	द्वि	रामौ कथयितारौ
राम	पुं	कथ्	चुर्	पर	लुट्	प्रथ्	बहु	रामाः कथयितारः
राम	पुं	कथ्	चुर्	पर	आशीर्	प्रथ्	एक	रामः कथ्यात्
राम	पुं	कथ्	चुर्	पर	आशीर्	प्रथ्	द्वि	रामौ कथ्यास्ताम्
